Type(cmd) Amount(dollex/time) Date(DD/MM/YY) Time-UTC(hh/mm/ss) Target(username)
+ 27 08/06/2022 21:11:05 lackless_gg
+ 21 08/06/2022 21:18:08 tintinrebeu
- 21 08/06/2022 21:22:34 addry06
+ 41 08/06/2022 21:28:44 emiyatv
+ 42 08/06/2022 21:36:12 antamel
TO 7 08/06/2022 21:39:27 ramenseater
- 25 08/06/2022 21:43:01 copiumoverdose
+ 33 08/06/2022 21:47:39 lalambo90
TO 7 08/06/2022 21:53:13 kirjecs
- 16 08/06/2022 22:01:44 pec_mousseux
TO 8 08/06/2022 22:43:56 ryffeur
+ 34 08/06/2022 22:52:22 bulawi
TO 7 08/06/2022 22:57:02 udwin_
+ 20 08/06/2022 23:02:39 nujabesl0ver
- 18 08/06/2022 23:09:53 eflieem
+ 45 08/06/2022 23:15:06 loocla28
+ 22 08/06/2022 23:21:05 extadr
TO 5 08/06/2022 23:25:18 loocla28
- 15 08/06/2022 23:40:51 budhaxx
- 21 09/06/2022 11:55:39 kraozer
- 21 09/06/2022 12:02:37 pierrotpoiro
+ 18 09/06/2022 12:08:22 bedsmash
+ 34 09/06/2022 12:14:50 katarn91
TO 5 09/06/2022 12:18:30 xylch_
+ 31 09/06/2022 12:21:46 retwix7
TO 7 09/06/2022 12:26:59 sunpaybtw
+ 19 09/06/2022 12:35:34 pabl0_lol
- 23 09/06/2022 12:44:03 taliion08
+ 23 09/06/2022 12:48:23 tatsharam
+ 24 09/06/2022 12:53:59 xylch_
TO 9 09/06/2022 12:59:50 lvckyyy7
+ 29 09/06/2022 13:04:37 tatsharam
+ 35 09/06/2022 13:10:00 gfhdhdhefvuz
+ 40 09/06/2022 13:18:01 seikansha
+ 16 09/06/2022 13:25:45 cryohto
- 24 09/06/2022 13:33:44 shaunzjetaimekappa
TO 9 09/06/2022 13:42:47 pony_industry
+ 40 09/06/2022 13:51:39 moha_f9
TO 5 10/06/2022 11:09:01 levonns
+ 27 10/06/2022 11:16:05 whiskaass
TO 9 10/06/2022 11:22:49 itssharkyos
TO 10 10/06/2022 11:28:33 pabl0_lol
+ 38 10/06/2022 11:33:30 hazuni_
+ 34 10/06/2022 11:41:06 apollonlac
TO 7 10/06/2022 11:44:23 mercure_o_chrome
+ 26 10/06/2022 11:51:42 nabodu33
- 17 10/06/2022 11:58:12 pinte2chouffe_
+ 19 10/06/2022 12:23:49 levonns
TO 5 10/06/2022 12:27:01 apollonlac
+ 41 10/06/2022 12:35:28 pandatomik
+ 41 10/06/2022 12:43:12 donpietro31
- 24 10/06/2022 12:47:13 digibus
- 21 10/06/2022 12:54:32 florentpagnytft
TO 7 10/06/2022 13:02:52 codyfn_
+ 20 10/06/2022 13:08:09 frenchbot2
+ 35 10/06/2022 13:12:34 alderiate
TO 7 10/06/2022 13:21:23 ledaronalucard
TO 7 10/06/2022 13:29:55 florentpagnytft
+ 16 10/06/2022 13:33:35 yunoxz
+ 38 10/06/2022 13:41:25 timarred
- 19 10/06/2022 13:46:07 florentpagnytft
+ 16 10/06/2022 13:53:52 adelphe2
+ 22 10/06/2022 13:59:39 tatsharam
+ 29 10/06/2022 14:07:24 youmik
+ 45 10/06/2022 14:15:49 pastaboxbox
TO 9 10/06/2022 14:19:43 crispy0110
- 25 10/06/2022 14:24:30 tatsharam
TO 8 10/06/2022 14:29:45 shaunzjetaimekappa
+ 26 10/06/2022 14:34:24 itssharkyos
+ 21 10/06/2022 14:37:47 noldolinn
+ 24 10/06/2022 14:41:53 katarn91
TO 9 10/06/2022 14:50:12 tatsharam
+ 22 10/06/2022 14:55:51 katarn91
+ 43 10/06/2022 15:00:35 ramenseater
+ 27 10/06/2022 15:07:23 alafraiche
+ 16 10/06/2022 15:11:42 louube_
+ 41 10/06/2022 15:18:19 izu____
- 17 10/06/2022 15:26:50 mabbuchi
+ 22 10/06/2022 15:33:06 pec_mousseux
TO 7 10/06/2022 15:37:46 froscha
+ 18 10/06/2022 15:45:49 flip_shrex_fast
+ 34 10/06/2022 15:50:53 pastaboxbox
TO 9 10/06/2022 15:58:26 levonns
+ 19 10/06/2022 16:05:18 redgoblins
+ 27 10/06/2022 16:12:48 flip_shrex_fast
TO 7 10/06/2022 16:16:33 katarn91
+ 23 10/06/2022 16:21:16 zype34
+ 30 10/06/2022 16:29:45 crispy0110
+ 21 10/06/2022 16:33:16 chiennumero13
+ 32 10/06/2022 16:38:56 nixtazya
- 20 10/06/2022 16:47:00 sorrink
+ 37 10/06/2022 16:51:46 pabl0_lol
+ 21 10/06/2022 17:00:08 pinte2chouffe_
- 18 10/06/2022 17:04:58 letoupse
- 20 10/06/2022 17:09:33 moha_f9
+ 41 10/06/2022 17:14:48 bloody97438
TO 7 10/06/2022 17:19:23 pabl0_lol
+ 22 10/06/2022 17:23:08 zomirc
+ 21 10/06/2022 17:26:35 zomirc
+ 23 10/06/2022 17:31:20 tatsharam
- 15 10/06/2022 17:34:37 tatsharam
+ 26 10/06/2022 17:42:11 rayken_v1
+ 37 10/06/2022 17:48:32 svetlos
